0000.Aud
00-8740e.Aud
00-8735e.Aud
00-8620e.Aud
00-8529e.Aud
00-8525e.Aud
00-4665e.Aud
00-4650e.Aud
00-4645e.Aud
00-4615e.Aud
00-4610e.Aud
00-4595e.Aud
00-4590e.Aud
00-4585e.Aud
00-4580e.Aud
00-4570e.Aud
00-4565e.Aud
00-4555e.Aud
00-4550e.Aud
00-4545e.Aud
00-4515e.Aud
00-4500e.Aud
00-00000.Aud
00-0000.Aud
00-0000e.Aud
00-0000r.Aud
00-I008.Aud	GDI Structure Destroyed
00-I012.Aud	Battle Control Offline
00-I014.Aud	Building Infiltrated
00-I016.Aud	Cannot Deploy Here
00-I018.Aud	Construction Complete
00-I020.Aud	Incoming Transmission
00-I022.Aud	insufficient Funds
00-I024.Aud	Low Power
00-I026.Aud	Mission Accomplished
00-I028.Aud	Mission Failed
00-I032.Aud	New Construction Options
00-I034.Aud	Primary Building Set
00-I038.Aud	Reinforcements Have Arrived
00-I040.Aud	Repairing
00-I042.Aud	Select Target
00-I044.Aud	Silos Needed
00-I056.Aud	Building Captured
00-I058.Aud	Timer Started
00-I060.Aud	Timer Stopped
00-I062.Aud	Training
00-I064.Aud	Unable To Comply, Building In Progress
00-I068.Aud	Unit Armour Upgraded
00-I070.Aud	Unit Firepower Upgraded
00-I074.Aud	Unit Lost
00-I076.Aud	Unit Ready
00-I078.Aud	Unit Repaired
00-I080.Aud	Unit Speed Upgraded
00-I082.Aud	Base Under Attack
00-I090.Aud	Harvester Under Attack
00-I100.Aud	Primary Objective Achieved
00-I102.Aud	Secondary Objective Achieved
00-I104.Aud	Tertiary Objective Achieved
00-I106.Aud	Quaternary Objective Achieved
00-I118.Aud	Bridge Repaired
00-I122.Aud	Twenty Minutes Remaining
00-I124.Aud	Ten Minutes Remaining
00-I126.Aud	Five Minutes Remaining
00-I128.Aud	Four Minutes Remaining
00-I130.Aud	Three Minutes Remaining
00-I132.Aud	Two Minutes Remaining
00-I134.Aud	One Minute Remaining
00-I150.Aud	Missile Launch Detected
00-I152.Aud	Chemical Missile Ready
00-I154.Aud	Cluster Missile Ready
00-I156.Aud	Ion Cannon Ready
00-I158.Aud	Em Pulse Cannon Ready
00-I162.Aud	Fire Storm Defense Ready
00-I170.Aud	Fire Storm Defense Offline
00-I172.Aud	Cloaked Unit Detected
00-I174.Aud	Subterranean Unit Detected
00-I176.Aud	Ion Storm Approaching
00-I178.Aud	Meteor Storm Approaching
00-I180.Aud	Base Defenses Offline
00-I194.Aud	Critical Unit Lost
00-I196.Aud	Critical Structure Lost
00-I198.Aud	New Terrain Discovered
00-I200.Aud	Establishing Battlefield Control, Stand By
00-I208.Aud	Mutant Supplies Found
00-I210.Aud	Commandos En Route
00-I216.Aud	Building
00-I218.Aud	On Hold
00-I220.Aud	Cancelled
00-I226.Aud	Unit Sold
00-I228.Aud	Structure Sold
00-I230.Aud	Building Offline
00-I232.Aud	Building Online
00-I252.Aud	Player Has Resigned
00-I268.Aud	Player Was Defeated
00-I284.Aud	You Are Victorious
00-I286.Aud	You Have Lost
00-I288.Aud	You Have Resigned
00-I290.Aud	Mutant Commandos Available
00-I304.Aud	Alliance Formed
00-I306.Aud	Alliance Broken
00-I308.Aud	Our Ally Is Under Attack
00-I310.Aud	Build More Power Plants To Restore Full Power
00-I312.Aud	Build Barracks To Train Additional Troops
00-I314.Aud	Build Hand Of Nod To Train Additional Troops
00-I316.Aud	Build A Tiberium Refinery To Harvest Tiberium
00-I318.Aud	Build Silos To Store Excess Tiberium
00-I344.Aud	Inferior Tactics Detected
00-I346.Aud	Retreat Is Your Only Logical Option
00-I348.Aud	Surrender Is Your Only Logical Option
00-I352.Aud	Your Defeat Is At Hand
00-I356.Aud	You Have Been Marked For Termination
00-I360.Aud	Time To Erase The Human Factor From This Equation
00-I370.Aud	Your Probability Of Success Is Dropping
00-I372.Aud	Surrender Is Preferable Against The Odds You Are Facing
00-I374.Aud	Data Received Indicates That You Are A Threat
00-I376.Aud	Defeat Of Enemy Predicted
00-I500.Aud	Objective Complete
00-I502.Aud	Final Objective Complete
00-I504.Aud	Unable To Comply, Fist Of Nod Deployed
00-I506.Aud	Drop Pods Available
00-N000.Aud	Build A Refinery To Harvest Tiberium
00-N002.Aud	Harvester Will Begin Harvesting
00-N004.Aud	Build A Barracks
00-N006.Aud	Destroy All Nod Forces In The Area
00-N018.Aud	Civilian Killed
00-N020.Aud	Nod Sam Sites Destroyed
00-N022.Aud	GDI Transports En Route
00-N024.Aud	Civilians Evacuated, Objective Complete
00-N032.Aud	Site Secure, Objective Complete
